Type	BF	DK	OMPBF	OMPDK	FROM	TO	NTHRDS
Time	0.00824	0.00816	0.00918	0.00917	0	67	3
Dist	2067.315	2067.315	2067.315	2067.315	0	67	4
Time	0.00840	0.00836	0.00922	0.00907	0	67	4
Dist	1781.843	1781.843	1781.843	1781.843	0	68	2
Time	0.00847	0.00853	0.00910	0.00934	0	68	2
Dist	1781.843	1781.843	1781.843	1781.843	0	68	3
Time	0.00818	0.00800	0.00884	0.00915	0	68	3
Dist	1781.843	1781.843	1781.843	1781.843	0	68	4
Time	0.00800	0.00814	0.00907	0.00910	0	68	4
Dist	1565.208	1565.208	1565.208	1565.208	0	69	2
Time	0.00781	0.00807	0.00899	0.00929	0	69	2
Dist	1565.208	1565.208	1565.208	1565.208	0	69	3
Time	0.00798	0.00799	0.00882	0.00921	0	69	3
Dist	1565.208	1565.208	1565.208	1565.208	0	69	4
Time	0.00799	0.00804	0.00900	0.00886	0	69	4
Dist	1868.967	1868.967	1868.967	1868.967	0	70	2
Time	0.00818	0.00827	0.00925	0.00940	0	70	2
Dist	1868.967	1868.967	1868.967	1868.967	0	70	3
Time	0.00821	0.00778	0.00880	0.00902	0	70	3
Dist	1868.967	1868.967	1868.967	1868.967	0	70	4
Time	0.00812	0.00834	0.00897	0.00897	0	70	4
Dist	2098.549	2098.549	2098.549	2098.549	0	71	2
Time	0.00838	0.00854	0.00954	0.00956	0	71	2
Dist	2098.549	2098.549	2098.549	2098.549	0	71	3
Time	0.00856	0.00839	0.00904	0.00894	0	71	3
Dist	2098.549	2098.549	2098.549	2098.549	0	71	4
Time	0.00777	0.00781	0.00860	0.00920	0	71	4
Dist	579.352	579.352	579.352	579.352	0	72	2
Time	0.00793	0.00822	0.00897	0.00913	0	72	2
Dist	579.352	579.352	579.352	579.352	0	72	3
Time	0.00791	0.00827	0.00912	0.00910	0	72	3
Dist	579.352	579.352	579.352	579.352	0	72	4
Time	0.00793	0.00781	0.00884	0.00901	0	72	4
Dist	2299.330	2299.330	2299.330	2299.330	0	73	2
Time	0.00876	0.00850	0.00898	0.00949	0	73	2
Dist	2299.330	2299.330	2299.330	2299.330	0	73	3
Time	0.00815	0.00832	0.00902	0.00936	0	73	3
Dist	2299.330	2299.330	2299.330	2299.330	0	73	4
Time	0.00800	0.00826	0.00914	0.00899	0	73	4
Dist	2346.652	2346.652	2346.652	2346.652	0	74	2
Time	0.00790	0.00799	0.00909	0.00925	0	74	2
Dist	2346.652	2346.652	2346.652	2346.652	0	74	3
Time	0.00798	0.00763	0.00891	0.00891	0	74	3
Dist	2346.652	2346.652	2346.652	2346.652	0	74	4
Time	0.00788	0.00774	0.00877	0.00895	0	74	4
Dist	1579.890	1579.890	1579.890	1579.890	0	75	2
Time	0.00786	0.00811	0.00896	0.00918	0	75	2
Dist	1579.890	1579.890	1579.890	1579.890	0	75	3
Time	0.00798	0.00765	0.00859	0.00910	0	75	3
Dist	1579.890	1579.890	1579.890	1579.890	0	75	4
Time	0.00788	0.00796	0.00919	0.00934	0	75	4
Dist	1114.417	1114.417	1114.417	1114.417	0	76	2
Time	0.00826	0.00822	0.00937	0.00918	0	76	2
Dist	1114.417	1114.417	1114.417	1114.417	0	76	3
Time	0.00791	0.00802	0.00894	0.00886	0	76	3
